id,id_fantoir,numero,rep,nom_voie,code_postal,code_insee,nom_commune,code_insee_ancienne_commune,nom_ancienne_commune,x,y,lon,lat,type_position,alias,nom_ld,libelle_acheminement,nom_afnor,source_position,source_nom_voie,certification_commune,cad_parcelles,building_id,iris_code,has_pv,pv_capacity_kwp,nom_iris,dist_to_bt_line_m
75101_cfq3tf_00001,,1,,Avenue du Général Lemonnier,75001,75101,Paris 1er Arrondissement,,,650852.91,6862571.27,2.330113,48.861299,parcelle,,,PARIS,AVENUE DU GENERAL LEMONNIER,commune,commune,1,,75101_cfq3tf_00001,751010105.0,False,0.0,Tuileries,1.0698487887693444
75101_cfq3tf_00002,,2,,Avenue du Général Lemonnier,75001,75101,Paris 1er Arrondissement,,,650873.96,6862544.4,2.330403,48.861059,parcelle,,,PARIS,AVENUE DU GENERAL LEMONNIER,commune,commune,1,,75101_cfq3tf_00002,751010104.0,False,0.0,Saint-Germain l'Auxerrois 4,15.194183810882286
75101_cfq3tf_00003,,3,,Avenue du Général Lemonnier,75001,75101,Paris 1er Arrondissement,,,650864.26,6862595.3,2.330265,48.861516,parcelle,,,PARIS,AVENUE DU GENERAL LEMONNIER,commune,commune,1,,75101_cfq3tf_00003,751010105.0,False,0.0,Tuileries,9.8623254282276
75101_cfq3tf_00005,,5,,Avenue du Général Lemonnier,75001,75101,Paris 1er Arrondissement,,,650876.06,6862619.33,2.330423,48.861733,parcelle,,,PARIS,AVENUE DU GENERAL LEMONNIER,commune,commune,1,,75101_cfq3tf_00005,751010105.0,True,12.06,Tuileries,19.42810476452908
75101_cfq3tf_00007,,7,,Avenue du Général Lemonnier,75001,75101,Paris 1er Arrondissement,,,650887.49,6862643.14,2.330576,48.861948,parcelle,,,PARIS,AVENUE DU GENERAL LEMONNIER,commune,commune,1,,75101_cfq3tf_00007,751010105.0,True,14.05,Tuileries,19.492328188534028
75101_cfq3tf_00009,,9,,Avenue du Général Lemonnier,75001,75101,Paris 1er Arrondissement,,,650899.35,6862666.95,2.330735,48.862163,parcelle,,,PARIS,AVENUE DU GENERAL LEMONNIER,commune,commune,1,,75101_cfq3tf_00009,751010105.0,False,0.0,Tuileries,19.955369217410983
75101_cfq3tf_00017,,17,,Avenue du Général Lemonnier,75001,75101,Paris 1er Arrondissement,,,650949.39,6862771.28,2.331405,48.863105,parcelle,,,PARIS,AVENUE DU GENERAL LEMONNIER,commune,commune,1,,75101_cfq3tf_00017,751010105.0,True,16.28,Tuileries,19.88011972429301
75101_cfq3tf_00019,,19,,Avenue du Général Lemonnier,75001,75101,Paris 1er Arrondissement,,,650958.59,6862791.77,2.331528,48.86329,parcelle,,,PARIS,AVENUE DU GENERAL LEMONNIER,commune,commune,1,,75101_cfq3tf_00019,751010105.0,True,7.05,Tuileries,0.9570284105105314
75101_cfq3tf_00021,,21,,Avenue du Général Lemonnier,75001,75101,Paris 1er Arrondissement,,,650968.3,6862811.59,2.331658,48.863469,parcelle,,,PARIS,AVENUE DU GENERAL LEMONNIER,commune,commune,1,,75101_cfq3tf_00021,751010105.0,True,16.31,Tuileries,0.9289213947684516
75101_cfq3tf_00022,,22,,Avenue du Général Lemonnier,75001,75101,Paris 1er Arrondissement,,,651005.11,6862809.95,2.33216,48.863457,parcelle,,,PARIS,AVENUE DU GENERAL LEMONNIER,commune,commune,1,,75101_cfq3tf_00022,751010104.0,False,0.0,Saint-Germain l'Auxerrois 4,14.393344766757268
75101_6kk03p_00002,,2,,Rue des Prêtres Saint-Germain l'Auxerrois,75001,75101,Paris 1er Arrondissement,,,651695.17,6862340.23,2.341619,48.859285,parcelle,,,PARIS,RUE PRETRES ST GERMAIN AUXERROIS,commune,commune,1,,75101_6kk03p_00002,751010103.0,False,0.0,Saint-Germain l'Auxerrois 3,8.982033707800014
75101_6kk03p_00004,,4,,Rue des Prêtres Saint-Germain l'Auxerrois,75001,75101,Paris 1er Arrondissement,,,651678.55,6862343.82,2.341392,48.859316,parcelle,,,PARIS,RUE PRETRES ST GERMAIN AUXERROIS,commune,commune,1,,75101_6kk03p_00004,751010103.0,False,0.0,Saint-Germain l'Auxerrois 3,13.692291302341792
75101_6kk03p_00006,,6,,Rue des Prêtres Saint-Germain l'Auxerrois,75001,75101,Paris 1er Arrondissement,,,651660.38,6862348.08,2.341144,48.859353,parcelle,,,PARIS,RUE PRETRES ST GERMAIN AUXERROIS,commune,commune,1,,75101_6kk03p_00006,751010103.0,True,18.25,Saint-Germain l'Auxerrois 3,10.51225497131066
